sku,current_stock,min_stock,stock_status
SKU-00146,-266.0,48,WARNING
SKU-00055,-250.0,4,WARNING
SKU-00085,-175.0,16,WARNING
SKU-00080,-133.0,43,WARNING
SKU-00027,-57.0,47,WARNING
SKU-00147,-33.0,14,WARNING
SKU-00118,48.0,21,OK
SKU-00139,48.0,5,OK
SKU-00175,62.0,5,OK
SKU-00020,63.0,29,OK
SKU-00184,97.0,36,OK
SKU-00173,119.0,20,OK
SKU-00142,123.0,39,OK
SKU-00071,145.0,24,OK
SKU-00130,162.0,32,OK
SKU-00105,172.0,27,OK
SKU-00037,174.0,0,OK
SKU-00188,176.0,34,OK
SKU-00094,179.0,42,OK
SKU-00152,180.0,28,OK
SKU-00115,180.0,12,OK
SKU-00012,186.0,35,OK
SKU-00008,188.0,48,OK
SKU-00022,194.0,2,OK
SKU-00165,206.0,31,OK
SKU-00111,212.0,1,OK
SKU-00024,231.0,13,OK
SKU-00199,247.0,11,OK
SKU-00018,248.0,44,OK
SKU-00103,265.0,7,OK
SKU-00166,281.0,31,OK
SKU-00140,284.0,14,OK
SKU-00003,284.0,5,OK
SKU-00124,290.0,46,OK
SKU-00093,295.0,42,OK
SKU-00133,297.0,39,OK
SKU-00010,308.0,38,OK
SKU-00066,317.0,29,OK
SKU-00081,321.0,7,OK
SKU-00015,330.0,14,OK
SKU-00063,342.0,25,OK
SKU-00044,355.0,5,OK
SKU-00102,361.0,35,OK
SKU-00045,362.0,48,OK
SKU-00016,376.0,17,OK
SKU-00181,378.0,10,OK
SKU-00198,380.0,21,OK
SKU-00157,385.0,8,OK
SKU-00153,385.0,49,OK
SKU-00162,395.0,48,OK
SKU-00004,396.0,35,OK
SKU-00031,398.0,38,OK
SKU-00064,404.0,15,OK
SKU-00159,446.0,26,OK
SKU-00112,446.0,42,OK
SKU-00056,447.0,4,OK
SKU-00128,450.0,23,OK
SKU-00095,456.0,7,OK
SKU-00148,456.0,3,OK
SKU-00060,477.0,12,OK
SKU-00163,477.0,0,OK
SKU-00001,489.0,8,OK
SKU-00145,496.0,25,OK
SKU-00009,502.0,24,OK
SKU-00036,509.0,18,OK
SKU-00070,516.0,25,OK
SKU-00000,519.0,47,OK
SKU-00075,522.0,3,OK
SKU-00099,522.0,5,OK
SKU-00062,523.0,46,OK
SKU-00106,526.0,23,OK
SKU-00061,530.0,22,OK
SKU-00035,535.0,49,OK
SKU-00082,536.0,37,OK
SKU-00072,541.0,50,OK
SKU-00193,545.0,46,OK
SKU-00186,548.0,6,OK
SKU-00043,554.0,15,OK
SKU-00194,558.0,29,OK
SKU-00113,559.0,10,OK
SKU-00158,560.0,44,OK
SKU-00121,573.0,1,OK
SKU-00058,575.0,46,OK
SKU-00154,579.0,40,OK
SKU-00116,594.0,19,OK
SKU-00050,597.0,28,OK
SKU-00169,603.0,25,OK
SKU-00138,611.0,18,OK
SKU-00047,632.0,16,OK
SKU-00164,634.0,48,OK
SKU-00052,641.0,21,OK
SKU-00141,648.0,1,OK
SKU-00029,652.0,5,OK
SKU-00134,652.0,35,OK
SKU-00065,657.0,8,OK
